Sample,Type,SeqID,Reads,Coverage,Path
6870_2_8,offspring,6870_2_8_S1409,218923,579.334,/home/maccamp/kootenai/data/align/6870_2_8_S1409.sort.bam
6870_2_9,offspring,6870_2_9_S1417,223881,601.715,/home/maccamp/kootenai/data/align/6870_2_9_S1417.sort.bam
6870_2_10,offspring,6870_2_10_S1425,216231,574.043,/home/maccamp/kootenai/data/align/6870_2_10_S1425.sort.bam
156A_2_6,offspring,156A_2_6_S1433,253880,679.124,/home/maccamp/kootenai/data/align/156A_2_6_S1433.sort.bam
156A_2_7,offspring,156A_2_7_S1441,256941,685.266,/home/maccamp/kootenai/data/align/156A_2_7_S1441.sort.bam
156A_2_8,offspring,156A_2_8_S1449,216771,577.157,/home/maccamp/kootenai/data/align/156A_2_8_S1449.sort.bam
156A_2_9,offspring,156A_2_9_S1457,217778,579.855,/home/maccamp/kootenai/data/align/156A_2_9_S1457.sort.bam
156A_2_10,offspring,156A_2_10_S1465,235622,628.867,/home/maccamp/kootenai/data/align/156A_2_10_S1465.sort.bam
156A_6,offspring,156A_6_S1473,212227,567.091,/home/maccamp/kootenai/data/align/156A_6_S1473.sort.bam
156A_7,offspring,156A_7_S1481,334229,891.392,/home/maccamp/kootenai/data/align/156A_7_S1481.sort.bam
156A_8,offspring,156A_8_S1489,197720,540.625,/home/maccamp/kootenai/data/align/156A_8_S1489.sort.bam
156A_9,offspring,156A_9_S1497,221816,595.471,/home/maccamp/kootenai/data/align/156A_9_S1497.sort.bam
156A_10,offspring,156A_10_S1410,301518,805.648,/home/maccamp/kootenai/data/align/156A_10_S1410.sort.bam
24343_2_6,offspring,24343_2_6_S1418,243816,652.827,/home/maccamp/kootenai/data/align/24343_2_6_S1418.sort.bam
24343_2_7,offspring,24343_2_7_S1426,255442,684.319,/home/maccamp/kootenai/data/align/24343_2_7_S1426.sort.bam
24343_2_8,offspring,24343_2_8_S1434,327937,875.665,/home/maccamp/kootenai/data/align/24343_2_8_S1434.sort.bam
24343_2_9,offspring,24343_2_9_S1442,292162,781.07,/home/maccamp/kootenai/data/align/24343_2_9_S1442.sort.bam
24343_2_10,offspring,24343_2_10_S1450,240592,632.734,/home/maccamp/kootenai/data/align/24343_2_10_S1450.sort.bam
4C2E_6,offspring,4C2E_6_S1458,239546,638.39,/home/maccamp/kootenai/data/align/4C2E_6_S1458.sort.bam
4C2E_7,offspring,4C2E_7_S1466,319088,855.712,/home/maccamp/kootenai/data/align/4C2E_7_S1466.sort.bam
4C2E_8,offspring,4C2E_8_S1474,239373,638.112,/home/maccamp/kootenai/data/align/4C2E_8_S1474.sort.bam
4C2E_9,offspring,4C2E_9_S1482,253793,668.783,/home/maccamp/kootenai/data/align/4C2E_9_S1482.sort.bam
4C2E_10,offspring,4C2E_10_S1490,202509,536.548,/home/maccamp/kootenai/data/align/4C2E_10_S1490.sort.bam
4C2E_2_7,offspring,4C2E_2_7_S1499,494822,1332.73,/home/maccamp/kootenai/data/align/4C2E_2_7_S1499.sort.bam
4C2E_2_8,offspring,4C2E_2_8_S1506,543672,1475.19,/home/maccamp/kootenai/data/align/4C2E_2_8_S1506.sort.bam
4C2E_2_9,offspring,4C2E_2_9_S1513,384281,1036.84,/home/maccamp/kootenai/data/align/4C2E_2_9_S1513.sort.bam
4C2E_2_10,offspring,4C2E_2_10_S1520,234409,633.835,/home/maccamp/kootenai/data/align/4C2E_2_10_S1520.sort.bam
2434_6,offspring,2434_6_S1526,359866,972.975,/home/maccamp/kootenai/data/align/2434_6_S1526.sort.bam
2434_7,offspring,2434_7_S1533,724074,1966.95,/home/maccamp/kootenai/data/align/2434_7_S1533.sort.bam
2434_8,offspring,2434_8_S1540,554612,1490.41,/home/maccamp/kootenai/data/align/2434_8_S1540.sort.bam
2434_9,offspring,2434_9_S1547,589553,1595.95,/home/maccamp/kootenai/data/align/2434_9_S1547.sort.bam
2434_10,offspring,2434_10_S1553,499196,1356.57,/home/maccamp/kootenai/data/align/2434_10_S1553.sort.bam
B4DA_6,offspring,B4DA_6_S1559,617456,1672.88,/home/maccamp/kootenai/data/align/B4DA_6_S1559.sort.bam
B4DA_7,offspring,B4DA_7_S1566,1091318,2957.07,/home/maccamp/kootenai/data/align/B4DA_7_S1566.sort.bam
B4DA_8,offspring,B4DA_8_S1573,582353,1552.47,/home/maccamp/kootenai/data/align/B4DA_8_S1573.sort.bam
B4DA_9,offspring,B4DA_9_S1500,315352,856.841,/home/maccamp/kootenai/data/align/B4DA_9_S1500.sort.bam
B4DA_10,offspring,B4DA_10_S1507,360481,986.426,/home/maccamp/kootenai/data/align/B4DA_10_S1507.sort.bam
4C2E_2_6,offspring,4C2E_2_6_S1599,303923,829.993,/home/maccamp/kootenai/data/align/4C2E_2_6_S1599.sort.bam
4C2E_2_3,offspring,4C2E_2_3_S1649,239054,643.912,/home/maccamp/kootenai/data/align/4C2E_2_3_S1649.sort.bam
F04B_1,offspring,F04B_1_S1056,142184,438.071,/home/maccamp/kootenai/data/align/F04B_1_S1056.sort.bam
F04B_2,offspring,F04B_2_S1064,232852,705.329,/home/maccamp/kootenai/data/align/F04B_2_S1064.sort.bam
F04B_3,offspring,F04B_3_S1072,291210,833.183,/home/maccamp/kootenai/data/align/F04B_3_S1072.sort.bam
F04B_4,offspring,F04B_4_S1080,220394,673.237,/home/maccamp/kootenai/data/align/F04B_4_S1080.sort.bam
F04B_5,offspring,F04B_5_S1088,143598,459.876,/home/maccamp/kootenai/data/align/F04B_5_S1088.sort.bam
F04B_2_1,offspring,F04B_2_1_S1096,161437,524.65,/home/maccamp/kootenai/data/align/F04B_2_1_S1096.sort.bam
